NORM,COLUMNS,VAR,RMSE,AREA,MODEL,HYPERTUNE
normalized,['A'],no3,334.0276002883911,"(120, 290)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B']",po4,343.5389757156372,"(120, 290)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C']",si,307.73115158081055,"(120, 290)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D']",thetao,284.5447301864624,"(120, 290)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E']",mlotst,437.4702453613281,"(120, 290)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,546.2386131286621,"(120, 290)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,460.1250648498535,"(120, 290)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,532.0503234863281,"(120, 290)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,472.33424186706543,"(120, 290)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,2.7885129675269127,"(120, 290)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,2.3414727300405502,"(120, 290)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,2.663102187216282,"(120, 290)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,2.563813701272011,"(120, 290)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,2.800995856523514,"(120, 290)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,2.89022047072649,"(120, 290)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,2.7339551597833633,"(120, 290)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,2.456832118332386,"(120, 290)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,2.3742953315377235,"(120, 290)",LSTM,"50,32,0.1,1,1"
normalized,['A'],no3,-942.3401832580566,"(150, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B']",po4,-903.6881446838379,"(150, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C']",si,-928.1704902648926,"(150, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D']",thetao,-885.7315063476562,"(150, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E']",mlotst,-873.403263092041,"(150, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,-1007.2569847106934,"(150, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,-1073.6711502075195,"(150, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,-1013.809871673584,"(150, 150)",LSTM,"50,32,0.1,1,1"
normalized,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I']",rsntds,-906.1969757080078,"(150, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,['A'],no3,0.33967674244195223,"(150, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B']",po4,0.3429167438298464,"(150, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C']",si,0.3293797839432955,"(150, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D']",thetao,0.29996593948453665,"(150, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E']",mlotst,0.281273340806365,"(150, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F']",dfe,0.4086033906787634,"(150, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G']",zmicroos,0.33579219598323107,"(150, 150)",LSTM,"50,32,0.1,1,1"
k_scaled,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']",zmesoos,0.33692235592752695,"(150, 150)",LSTM,"50,32,0.1,1,1"
